20160602 000000.txt,465,15
20160605 000000.txt,1120,48
20160605 000001.txt,1295,28
20160607 000000.txt,1096,30
20160609 000000.txt,1172,27
20160614 000000.txt,1208,29
20160618 000000.txt,783,21
20160620 000000.txt,977,18
20160622 000000.txt,851,17
20160623 000000.txt,666,17
20160624 000000.txt,1154,29
20160624 000001.txt,1214,26
20160624 000002.txt,872,22
20160624 000003.txt,340,12
20160624 000004.txt,1044,29
20160624 000005.txt,363,11
20160624 000006.txt,1733,33
20160624 000007.txt,435,13
20160624 000008.txt,820,16
20160625 000000.txt,932,18
20160625 000001.txt,1035,12
20160625 000002.txt,846,19
20160625 000003.txt,817,21
20160626 000000.txt,1107,27
20160626 000001.txt,747,20
20160627 000000.txt,430,14
20160627 000001.txt,1547,47
20160627 000002.txt,1118,27
20160628 000000.txt,369,12
20160628 000001.txt,1371,23
20160628 000002.txt,642,22
20160629 000000.txt,1213,35
20160629 000001.txt,467,14
20160630 000000.txt,1114,30
20160630 000001.txt,535,19
20160702 000000.txt,2276,42
20160704 000000.txt,1290,17
20160704 000001.txt,465,13
20160704 000002.txt,10,1
20160706 000000.txt,779,26
20160707 000000.txt,470,13
20160708 000000.txt,849,19
20160709 000000.txt,443,10
20160711 000000.txt,254,7
20160713 000000.txt,1214,20
20160714 000000.txt,714,17
20160718 000000.txt,819,24
20160719 000000.txt,987,24
20160720 000000.txt,653,16
20160721 000000.txt,786,16
20160722 000000.txt,747,22
20160722 000001.txt,1309,55
20160727 000000.txt,745,25
20160728 000000.txt,766,26
20160729 000000.txt,441,10
20160729 000001.txt,853,22
20160730 000000.txt,658,22
