20140914 000000.txt,1062,17
20140929 000000.txt,357,7
20140929 000001.txt,461,6
20140930 000000.txt,528,12
20140930 000001.txt,1137,23
20140930 000002.txt,840,17
20141001 000000.txt,411,17
20141001 000001.txt,1188,30
20141001 000002.txt,776,16
20141003 000000.txt,10,1
20141004 000000.txt,644,20
20141007 000000.txt,322,7
20141008 000000.txt,407,10
20141015 000000.txt,982,25
20141019 000000.txt,794,20
20141019 000001.txt,275,12
20141029 000000.txt,1152,20
20141102 000000.txt,404,8
20141105 000000.txt,518,14
20141125 000000.txt,907,18
20141126 000000.txt,983,30
20141130 000000.txt,694,21
20141202 000000.txt,673,18
20141203 000000.txt,598,15
20141214 000000.txt,1262,40
20141220 000000.txt,1215,14
20141223 000000.txt,378,10
